# Which MSigDB terms the Metabolic collection is made of.
#
# One term per line: MSigDB systematic id, tab, category. A line beginning "!"
# is a term that was JUDGED AND LEFT OUT on purpose — it is recorded so that
# derive-metabolic.mjs's staleness check can tell "nobody has looked at this
# yet" from "somebody looked and said no", and so the second is arguable in a
# diff rather than invisible.
#
# HOW THIS WAS MADE
#
# Every one of the 15,646 term names in the pathway and ontology collections was
# read and judged against written criteria — the union across human and mouse,
# since they share systematic ids, so each term is decided once. It replaced a
# name-matching vocabulary, which is only ever as good as the correlation
# between what a pathway is called and what it is about. That correlation fails
# exactly where it matters: the vocabulary missed KEGG_PENTOSE_AND_
# GLUCURONATE_INTERCONVERSIONS, a metabolic map with no metabolic word in it;
# REACTOME_COMPLEX_I_BIOGENESIS and REACTOME_MITOCHONDRIAL_BIOGENESIS;
# KEGG_INSULIN_SIGNALING_PATHWAY and KEGG_PPAR_SIGNALING_PATHWAY, whose whole
# subject is metabolic control; and KEGG_TYPE_II_DIABETES_MELLITUS. No
# vocabulary catches those without catching half of signalling with them.
#
# WHAT COUNTS AS METABOLIC
#
# The biochemistry of small molecules — synthesis, breakdown, interconversion —
# energy metabolism, redox and one-carbon, storage and mobilisation, the
# transport of metabolites, the pathways that REGULATE metabolism, metabolic
# disease, metabolic enzyme activities, and the compartments that exist to do
# metabolism. Not: macromolecule turnover, which GO also calls metabolism
# (protein, RNA and DNA metabolic processes, translation, proteasome); the
# top-of-hierarchy terms that cover everything; or signalling and development
# where a metabolite is incidental.
#
# ONE STATEMENT, ONE SET
#
# The library said "oxidative phosphorylation" 60 times over, in 60 sets
# that are the same claim at different resolutions — every electron-transfer
# step, every respiratory complex's assembly, each database's own copy. That is
# 60 rows in a results table for one finding and 60 of the tests the
# Benjamini-Hochberg correction is spread across. The family is consolidated to
# four: Hallmark's and KEGG's oxidative phosphorylation, Reactome's aerobic
# respiration, and mitochondrial biogenesis, which is a different question from
# respiring. Terms whose subject is another family that merely happens in the
# mitochondrion — beta-oxidation, the TCA cycle, iron-sulfur clusters,
# mitochondrial fatty acid synthesis — stay with their own kind.
#
# Ribosomes and translation needed no consolidation: they are macromolecule
# turnover and the criteria never admitted them. The one survivor,
# GOBP_NONRIBOSOMAL_PEPTIDE_BIOSYNTHETIC_PROCESS, is genuine small-molecule
# metabolism and is named for what it is NOT.
#
# 2813 terms included, 428 recorded as deliberately excluded.

GOBP_ADP_BIOSYNTHETIC_PROCESS	energy
GOBP_ADP_TRANSPORT	transport
GOBP_ALANINE_METABOLIC_PROCESS	amino-acid
GOBP_ALANINE_TRANSPORT	transport
GOBP_ALCOHOL_BIOSYNTHETIC_PROCESS	other
GOBP_ALCOHOL_CATABOLIC_PROCESS	other
GOBP_ALCOHOL_METABOLIC_PROCESS	other
GOBP_ALDEHYDE_BIOSYNTHETIC_PROCESS	other
GOBP_ALDEHYDE_CATABOLIC_PROCESS	other
GOBP_ALDEHYDE_METABOLIC_PROCESS	other
GOBP_ALDITOL_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_ALDITOL_CATABOLIC_PROCESS	carbohydrate
GOBP_ALDITOL_PHOSPHATE_METABOLIC_PROCESS	carbohydrate
GOBP_ALDOSTERONE_BIOSYNTHETIC_PROCESS	other
GOBP_ALDOSTERONE_METABOLIC_PROCESS	other
GOBP_ALKALOID_CATABOLIC_PROCESS	xenobiotic
GOBP_ALKALOID_METABOLIC_PROCESS	xenobiotic
GOBP_ALKANESULFONATE_BIOSYNTHETIC_PROCESS	other
GOBP_ALKANESULFONATE_METABOLIC_PROCESS	other
GOBP_ALKANESULFONATE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_ALLANTOIN_METABOLIC_PROCESS	nucleotide
GOBP_ALPHA_AMINO_ACID_BIOSYNTHETIC_PROCESS	amino-acid
GOBP_ALPHA_AMINO_ACID_CATABOLIC_PROCESS	amino-acid
GOBP_ALPHA_AMINO_ACID_METABOLIC_PROCESS	amino-acid
GOBP_ALPHA_KETOGLUTARATE_TRANSPORT	transport
GOBP_ALPHA_LINOLENIC_ACID_METABOLIC_PROCESS	lipid
GOBP_AMINE_BIOSYNTHETIC_PROCESS	other
GOBP_AMINE_CATABOLIC_PROCESS	other
GOBP_AMINE_METABOLIC_PROCESS	other
GOBP_AMINE_TRANSPORT	transport
GOBP_AMINO_ACID_BETAINE_BIOSYNTHETIC_PROCESS	amino-acid
GOBP_AMINO_ACID_BETAINE_METABOLIC_PROCESS	amino-acid
GOBP_AMINO_ACID_BETAINE_TRANSPORT	transport
GOBP_AMINO_ACID_BIOSYNTHETIC_PROCESS	amino-acid
GOBP_AMINO_ACID_CATABOLIC_PROCESS	amino-acid
GOBP_AMINO_ACID_IMPORT_ACROSS_PLASMA_MEMBRANE	transport
GOBP_AMINO_ACID_METABOLIC_PROCESS	amino-acid
GOBP_AMINO_ACID_SALVAGE	amino-acid
GOBP_AMINO_ACID_TRANSMEMBRANE_TRANSPORT	transport
GOBP_AMINO_ACID_TRANSPORT	transport
GOBP_AMINO_SUGAR_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_AMINO_SUGAR_CATABOLIC_PROCESS	carbohydrate
GOBP_AMINO_SUGAR_METABOLIC_PROCESS	carbohydrate
GOBP_AMINOGLYCAN_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_AMINOGLYCAN_CATABOLIC_PROCESS	carbohydrate
GOBP_AMINOGLYCAN_METABOLIC_PROCESS	carbohydrate
GOBP_AMINOPHOSPHOLIPID_TRANSLOCATION	lipid
GOBP_AMINOPHOSPHOLIPID_TRANSPORT	transport
GOBP_AMMONIUM_HOMEOSTASIS	other
GOBP_AMMONIUM_TRANSMEMBRANE_TRANSPORT	transport
GOBP_AMP_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_AMP_CATABOLIC_PROCESS	nucleotide
GOBP_AMP_METABOLIC_PROCESS	nucleotide
GOBP_AMP_SALVAGE	nucleotide
GOBP_ANDROGEN_BIOSYNTHETIC_PROCESS	other
GOBP_ANDROGEN_CATABOLIC_PROCESS	other
GOBP_ANDROGEN_METABOLIC_PROCESS	other
GOBP_ARACHIDONATE_METABOLIC_PROCESS	lipid
GOBP_ARACHIDONATE_SECRETION	lipid
GOBP_ARGININE_METABOLIC_PROCESS	amino-acid
GOBP_AROMATIC_AMINO_ACID_FAMILY_CATABOLIC_PROCESS	amino-acid
GOBP_AROMATIC_AMINO_ACID_METABOLIC_PROCESS	amino-acid
GOBP_AROMATIC_AMINO_ACID_TRANSPORT	transport
GOBP_ASPARAGINE_METABOLIC_PROCESS	amino-acid
GOBP_ASPARTATE_FAMILY_AMINO_ACID_BIOSYNTHETIC_PROCESS	amino-acid
GOBP_ASPARTATE_METABOLIC_PROCESS	amino-acid
GOBP_ASPARTATE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_ATP_BIOSYNTHETIC_PROCESS	energy
GOBP_ATP_EXPORT	transport
GOBP_ATP_METABOLIC_PROCESS	energy
GOBP_ATP_TRANSPORT	transport
GOBP_AZOLE_TRANSMEMBRANE_TRANSPORT	xenobiotic
GOBP_BASIC_AMINO_ACID_TRANSPORT	transport
GOBP_BENZENE_CONTAINING_COMPOUND_METABOLIC_PROCESS	xenobiotic
GOBP_BETA_ALANINE_METABOLIC_PROCESS	amino-acid
GOBP_BILE_ACID_AND_BILE_SALT_TRANSPORT	transport
GOBP_BILE_ACID_BIOSYNTHETIC_PROCESS	lipid
GOBP_BILE_ACID_METABOLIC_PROCESS	lipid
GOBP_BILE_ACID_SECRETION	transport
GOBP_BILE_ACID_SIGNALING_PATHWAY	regulation
GOBP_BRANCHED_CHAIN_AMINO_ACID_METABOLIC_PROCESS	amino-acid
GOBP_BRANCHED_CHAIN_AMINO_ACID_TRANSPORT	transport
GOBP_C21_STEROID_HORMONE_BIOSYNTHETIC_PROCESS	other
GOBP_C21_STEROID_HORMONE_METABOLIC_PROCESS	other
GOBP_C4_DICARBOXYLATE_TRANSPORT	transport
GOBP_CALCITRIOL_BIOSYNTHETIC_PROCESS_FROM_CALCIOL	other
GOBP_CALCIUM_ACTIVATED_GALACTOSYLCERAMIDE_SCRAMBLING	lipid
GOBP_CALCIUM_ACTIVATED_PHOSPHATIDYLCHOLINE_SCRAMBLING	lipid
GOBP_CALCIUM_ACTIVATED_PHOSPHATIDYLSERINE_SCRAMBLING	lipid
GOBP_CALCIUM_ACTIVATED_PHOSPHOLIPID_SCRAMBLING	lipid
GOBP_CAMKK_AMPK_SIGNALING_CASCADE	regulation
GOBP_CAMP_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_CAMP_CATABOLIC_PROCESS	nucleotide
GOBP_CAMP_METABOLIC_PROCESS	nucleotide
GOBP_CANALICULAR_BILE_ACID_TRANSPORT	transport
GOBP_CARBOHYDRATE_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_CARBOHYDRATE_CATABOLIC_PROCESS	carbohydrate
GOBP_CARBOHYDRATE_DERIVATIVE_BIOSYNTHETIC_PROCESS	carbohydrate
GOBP_CARBOHYDRATE_DERIVATIVE_CATABOLIC_PROCESS	carbohydrate
GOBP_CARBOHYDRATE_DERIVATIVE_METABOLIC_PROCESS	carbohydrate
GOBP_CARBOHYDRATE_DERIVATIVE_TRANSPORT	transport
GOBP_CARBOHYDRATE_HOMEOSTASIS	carbohydrate
GOBP_CARBOHYDRATE_IMPORT_ACROSS_PLASMA_MEMBRANE	transport
GOBP_CARBOHYDRATE_METABOLIC_PROCESS	carbohydrate
GOBP_CARBOHYDRATE_PHOSPHORYLATION	carbohydrate
GOBP_CARBOHYDRATE_TRANSPORT	transport
GOBP_CARBON_DIOXIDE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_CARBON_DIOXIDE_TRANSPORT	transport
GOBP_CARBOXYLIC_ACID_TRANSMEMBRANE_TRANSPORT	transport
GOBP_CARDIOLIPIN_ACYL_CHAIN_REMODELING	lipid
GOBP_CARDIOLIPIN_BIOSYNTHETIC_PROCESS	lipid
GOBP_CARDIOLIPIN_METABOLIC_PROCESS	lipid
GOBP_CARNITINE_BIOSYNTHETIC_PROCESS	lipid
GOBP_CARNITINE_METABOLIC_PROCESS	lipid
GOBP_CARNITINE_TRANSPORT	transport
GOBP_CATECHOL_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	other
GOBP_CATECHOL_CONTAINING_COMPOUND_CATABOLIC_PROCESS	other
GOBP_CATECHOL_CONTAINING_COMPOUND_METABOLIC_PROCESS	other
GOBP_CATECHOLAMINE_TRANSPORT	transport
GOBP_CDP_CHOLINE_PATHWAY	lipid
GOBP_CDP_DIACYLGLYCEROL_METABOLIC_PROCESS	lipid
GOBP_CELL_REDOX_HOMEOSTASIS	redox
GOBP_CELLULAR_DETOXIFICATION_OF_ALDEHYDE	redox
GOBP_CELLULAR_OXIDANT_DETOXIFICATION	redox
GOBP_CELLULAR_RESPONSE_TO_GLUCAGON_STIMULUS	regulation
GOBP_CELLULAR_RESPONSE_TO_GLUCOSE_STARVATION	regulation
GOBP_CELLULAR_RESPONSE_TO_INSULIN_STIMULUS	regulation
GOBP_CERAMIDE_1_PHOSPHATE_TRANSPORT	lipid
GOBP_CERAMIDE_BIOSYNTHETIC_PROCESS	lipid
GOBP_CERAMIDE_CATABOLIC_PROCESS	lipid
GOBP_CERAMIDE_METABOLIC_PROCESS	lipid
GOBP_CERAMIDE_TRANSPORT	lipid
GOBP_CGMP_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_CGMP_CATABOLIC_PROCESS	nucleotide
GOBP_CGMP_METABOLIC_PROCESS	nucleotide
GOBP_CHITIN_METABOLIC_PROCESS	carbohydrate
GOBP_CHOLESTEROL_BIOSYNTHETIC_PROCESS_VIA_DESMOSTEROL	lipid
GOBP_CHOLESTEROL_BIOSYNTHETIC_PROCESS_VIA_LATHOSTEROL	lipid
GOBP_CHOLESTEROL_CATABOLIC_PROCESS	lipid
GOBP_CHOLESTEROL_EFFLUX	lipid
GOBP_CHOLESTEROL_IMPORT	lipid
GOBP_CHOLESTEROL_STORAGE	storage
GOBP_CHOLINE_METABOLIC_PROCESS	lipid
GOBP_CHOLINE_TRANSPORT	transport
GOBP_CHYLOMICRON_ASSEMBLY	lipid
GOBP_CHYLOMICRON_REMODELING	lipid
GOBP_CITRATE_METABOLIC_PROCESS	energy
GOBP_CITRULLINE_BIOSYNTHETIC_PROCESS	amino-acid
GOBP_CITRULLINE_METABOLIC_PROCESS	amino-acid
GOBP_CMP_CATABOLIC_PROCESS	nucleotide
GOBP_CMP_METABOLIC_PROCESS	nucleotide
GOBP_CMP_N_ACETYLNEURAMINATE_METABOLIC_PROCESS	carbohydrate
GOBP_COBALAMIN_METABOLIC_PROCESS	cofactor
GOBP_COBALAMIN_TRANSPORT	transport
GOBP_COBALT_ION_TRANSPORT	transport
GOBP_COENZYME_A_BIOSYNTHETIC_PROCESS	cofactor
GOBP_COENZYME_A_CATABOLIC_PROCESS	cofactor
GOBP_COENZYME_A_METABOLIC_PROCESS	cofactor
GOBP_COPPER_ION_HOMEOSTASIS	transport
GOBP_COPPER_ION_IMPORT	transport
GOBP_COPPER_ION_TRANSMEMBRANE_TRANSPORT	transport
GOBP_COPPER_ION_TRANSPORT	transport
GOBP_CORTICOSTEROID_HORMONE_SECRETION	lipid
GOBP_CORTICOSTERONE_SECRETION	lipid
GOBP_CORTISOL_BIOSYNTHETIC_PROCESS	lipid
GOBP_CORTISOL_METABOLIC_PROCESS	lipid
GOBP_CORTISOL_SECRETION	lipid
GOBP_CRISTAE_FORMATION	energy
GOBP_CYCLIC_NUCLEOTIDE_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_CYCLIC_NUCLEOTIDE_CATABOLIC_PROCESS	nucleotide
GOBP_CYCLIC_NUCLEOTIDE_METABOLIC_PROCESS	nucleotide
GOBP_CYCLIC_NUCLEOTIDE_TRANSPORT	transport
GOBP_CYCLOOXYGENASE_PATHWAY	lipid
GOBP_CYSTEINE_CATABOLIC_PROCESS	amino-acid
GOBP_CYSTEINE_METABOLIC_PROCESS	amino-acid
GOBP_CYTOCHROME_COMPLEX_ASSEMBLY	energy
GOBP_CYTOCHROME_METABOLIC_PROCESS	energy
GOBP_D_AMINO_ACID_TRANSPORT	transport
GOBP_D_ASPARTATE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_D_GLUCOSE_IMPORT	transport
GOBP_D_GLUCURONATE_CATABOLIC_PROCESS_TO_D_XYLULOSE_5_PHOSPHATE	carbohydrate
GOBP_D_XYLULOSE_5_PHOSPHATE_METABOLIC_PROCESS	carbohydrate
GOBP_DATP_METABOLIC_PROCESS	nucleotide
GOBP_DCMP_METABOLIC_PROCESS	nucleotide
GOBP_DE_NOVO_AMP_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_DE_NOVO_IMP_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_DE_NOVO_NADPLUS_BIOSYNTHETIC_PROCESS_FROM_L_TRYPTOPHAN	cofactor
GOBP_DE_NOVO_PYRIMIDINE_NUCLEOBASE_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_DEHYDROASCORBIC_ACID_TRANSPORT	transport
GOBP_DEOXYADENOSINE_METABOLIC_PROCESS	nucleotide
GOBP_DEOXYGUANOSINE_CATABOLIC_PROCESS	nucleotide
GOBP_DEOXYRIBONUCLEOSIDE_CATABOLIC_PROCESS	nucleotide
GOBP_DEOXYRIBONUCLEOSIDE_METABOLIC_PROCESS	nucleotide
GOBP_DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_DEOXYRIBONUCLEOSIDE_MONOPHOSPHATE_CATABOLIC_PROCESS	nucleotide
GOBP_DEOXYRIBONUCLEOSIDE_TRIPHOSPHATE_METABOLIC_PROCESS	nucleotide
GOBP_DEOXYRIBONUCLEOTIDE_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_DEOXYRIBONUCLEOTIDE_CATABOLIC_PROCESS	nucleotide
GOBP_DEOXYRIBONUCLEOTIDE_METABOLIC_PROCESS	nucleotide
GOBP_DETOXIFICATION	xenobiotic
GOBP_DETOXIFICATION_OF_CADMIUM_ION	xenobiotic
GOBP_DETOXIFICATION_OF_COPPER_ION	xenobiotic
GOBP_DETOXIFICATION_OF_INORGANIC_COMPOUND	xenobiotic
GOBP_DETOXIFICATION_OF_NITROGEN_COMPOUND	xenobiotic
GOBP_DGMP_CATABOLIC_PROCESS	nucleotide
GOBP_DGMP_METABOLIC_PROCESS	nucleotide
GOBP_DIACYLGLYCEROL_BIOSYNTHETIC_PROCESS	lipid
GOBP_DIACYLGLYCEROL_CATABOLIC_PROCESS	lipid
GOBP_DIACYLGLYCEROL_METABOLIC_PROCESS	lipid
GOBP_DIADENOSINE_POLYPHOSPHATE_CATABOLIC_PROCESS	nucleotide
GOBP_DIADENOSINE_POLYPHOSPHATE_METABOLIC_PROCESS	nucleotide
GOBP_DICARBOXYLIC_ACID_BIOSYNTHETIC_PROCESS	energy
GOBP_DICARBOXYLIC_ACID_CATABOLIC_PROCESS	energy
GOBP_DICARBOXYLIC_ACID_METABOLIC_PROCESS	energy
GOBP_DICARBOXYLIC_ACID_TRANSPORT	transport
GOBP_DIET_INDUCED_THERMOGENESIS	energy
GOBP_DIGESTION	other
GOBP_DIOL_BIOSYNTHETIC_PROCESS	other
GOBP_DIOL_METABOLIC_PROCESS	other
GOBP_DIPEPTIDE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_DIPHOSPHOINOSITOL_POLYPHOSPHATE_METABOLIC_PROCESS	lipid
GOBP_DISACCHARIDE_CATABOLIC_PROCESS	carbohydrate
GOBP_DISACCHARIDE_METABOLIC_PROCESS	carbohydrate
GOBP_DITERPENOID_BIOSYNTHETIC_PROCESS	lipid
GOBP_DITERPENOID_METABOLIC_PROCESS	lipid
GOBP_DOLICHYL_MONOPHOSPHATE_BIOSYNTHETIC_PROCESS	lipid
GOBP_DOPAMINE_BIOSYNTHETIC_PROCESS	other
GOBP_DOPAMINE_METABOLIC_PROCESS	other
GOBP_DOPAMINE_SECRETION	transport
GOBP_DOPAMINE_TRANSPORT	transport
GOBP_DTMP_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_DTMP_CATABOLIC_PROCESS	nucleotide
GOBP_DTMP_METABOLIC_PROCESS	nucleotide
GOBP_DTTP_BIOSYNTHETIC_PROCESS	nucleotide
GOBP_DTTP_METABOLIC_PROCESS	nucleotide
GOBP_DUMP_CATABOLIC_PROCESS	nucleotide
GOBP_DUMP_METABOLIC_PROCESS	nucleotide
GOBP_ENERGY_HOMEOSTASIS	energy
GOBP_ENERGY_RESERVE_METABOLIC_PROCESS	storage
GOBP_EPINEPHRINE_METABOLIC_PROCESS	other
GOBP_EPINEPHRINE_SECRETION	transport
GOBP_EPINEPHRINE_TRANSPORT	transport
GOBP_EPOXIDE_METABOLIC_PROCESS	xenobiotic
GOBP_EPOXYGENASE_P450_PATHWAY	lipid
GOBP_ESTROGEN_BIOSYNTHETIC_PROCESS	lipid
GOBP_ESTROGEN_METABOLIC_PROCESS	lipid
GOBP_ETHANOL_METABOLIC_PROCESS	xenobiotic
GOBP_ETHER_BIOSYNTHETIC_PROCESS	lipid
GOBP_ETHER_CATABOLIC_PROCESS	lipid
GOBP_ETHER_LIPID_METABOLIC_PROCESS	lipid
GOBP_FARNESYL_DIPHOSPHATE_BIOSYNTHETIC_PROCESS	lipid
GOBP_FARNESYL_DIPHOSPHATE_METABOLIC_PROCESS	lipid
GOBP_FAT_CELL_DIFFERENTIATION	storage
GOBP_FAT_SOLUBLE_VITAMIN_BIOSYNTHETIC_PROCESS	cofactor
GOBP_FAT_SOLUBLE_VITAMIN_CATABOLIC_PROCESS	cofactor
GOBP_FATTY_ACID_ALPHA_OXIDATION	lipid
GOBP_FATTY_ACID_BETA_OXIDATION	energy
GOBP_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_DEHYDROGENASE	energy
GOBP_FATTY_ACID_BETA_OXIDATION_USING_ACYL_COA_OXIDASE	energy
GOBP_FATTY_ACID_BIOSYNTHETIC_PROCESS	lipid
GOBP_FATTY_ACID_CATABOLIC_PROCESS	lipid
GOBP_FATTY_ACID_DERIVATIVE_BIOSYNTHETIC_PROCESS	lipid
GOBP_FATTY_ACID_DERIVATIVE_CATABOLIC_PROCESS	lipid
GOBP_FATTY_ACID_DERIVATIVE_METABOLIC_PROCESS	lipid
GOBP_FATTY_ACID_ELONGATION	lipid
GOBP_FATTY_ACID_ELONGATION_SATURATED_FATTY_ACID	lipid
GOBP_FATTY_ACID_HOMEOSTASIS	lipid
GOBP_FATTY_ACID_METABOLIC_PROCESS	lipid
GOBP_FATTY_ACID_OMEGA_OXIDATION	lipid
GOBP_FATTY_ACID_TRANSMEMBRANE_TRANSPORT	transport
GOBP_FATTY_ACID_TRANSPORT	transport
GOBP_FATTY_ACYL_COA_BIOSYNTHETIC_PROCESS	lipid
GOBP_FATTY_ACYL_COA_CATABOLIC_PROCESS	lipid
GOBP_FATTY_ACYL_COA_METABOLIC_PROCESS	lipid
GOBP_FERMENTATION	energy
GOBP_FLAVIN_CONTAINING_COMPOUND_METABOLIC_PROCESS	cofactor
GOBP_FLAVONE_METABOLIC_PROCESS	other
GOBP_FLAVONOID_METABOLIC_PROCESS	other
GOBP_FOLATE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_FOLIC_ACID_CONTAINING_COMPOUND_BIOSYNTHETIC_PROCESS	cofactor
GOBP_FOLIC_ACID_CONTAINING_COMPOUND_METABOLIC_PROCESS	cofactor
GOBP_FOLIC_ACID_METABOLIC_PROCESS	cofactor
GOBP_FOLIC_ACID_TRANSPORT	transport
GOBP_FORMALDEHYDE_METABOLIC_PROCESS	other
GOBP_FORMATE_METABOLIC_PROCESS	other
GOBP_FRUCTOSE_1_6_BISPHOSPHATE_METABOLIC_PROCESS	carbohydrate
GOBP_FRUCTOSE_2_6_BISPHOSPHATE_METABOLIC_PROCESS	carbohydrate
GOBP_FRUCTOSE_6_PHOSPHATE_METABOLIC_PROCESS	carbohydrate
GOBP_FRUCTOSE_CATABOLIC_PROCESS	carbohydrate
GOBP_FRUCTOSE_METABOLIC_PROCESS	carbohydrate
GOBP_FRUCTOSE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_FUCOSE_CATABOLIC_PROCESS	carbohydrate
GOBP_FUCOSE_METABOLIC_PROCESS	carbohydrate
GOBP_GALACTOLIPID_METABOLIC_PROCESS	lipid
GOBP_GALACTOSE_CATABOLIC_PROCESS	carbohydrate
GOBP_GALACTOSE_CATABOLIC_PROCESS_VIA_UDP_GALACTOSE_LELOIR_PATHWAY	carbohydrate
GOBP_GALACTOSE_METABOLIC_PROCESS	carbohydrate
GOBP_GALACTOSE_TRANSMEMBRANE_TRANSPORT	transport
GOBP_GALACTOSYLCERAMIDE_BIOSYNTHETIC_PROCESS	lipid
